t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0.0405,0.525456,-0.931911,0.494587,-0.475291,0.293518,-2.85127,6.28781,-5.3113,-76.4039,0.142495,-70.3525,0,0,0,217.848,0.89598,373.663,0,0,0,0,0,0,1.08719,-0.0190808,-0.675547,-597.094,878.119
0.041,0.525605,-0.933343,0.49774,-0.477953,0.301546,-2.87662,6.3254,-5.34004,-76.2755,0.178642,-72.0644,0,0,0,219.416,1.12998,384.827,0,0,0,0,0,0,1.08685,-0.0195299,-0.684181,-596.223,878.418
0.0415,0.525757,-0.934787,0.500913,-0.480631,0.30837,-2.90065,6.36368,-5.37013,-76.1554,0.218949,-73.854,0,0,0,220.9,1.39332,396.605,0,0,0,0,0,0,1.0865,-0.0199755,-0.692809,-595.469,878.724
0.042,0.525913,-0.936243,0.504104,-0.483324,0.313941,-2.9233,6.40272,-5.40163,-76.0441,0.263153,-75.7145,0,0,0,222.3,1.6849,408.982,0,0,0,0,0,0,1.08616,-0.0204174,-0.701434,-594.832,879.037
0.0425,0.526071,-0.937711,0.507315,-0.486033,0.318215,-2.94453,6.44254,-5.4346,-75.9424,0.311333,-77.6394,0,0,0,223.615,2.00577,421.939,0,0,0,0,0,0,1.0858,-0.0208556,-0.710055,-594.31,879.357
0.043,0.526231,-0.939188,0.510547,-0.488759,0.321149,-2.96429,6.48318,-5.46908,-75.8507,0.363237,-79.6222,0,0,0,224.844,2.35493,435.46,0,0,0,0,0,0,1.08545,-0.0212898,-0.718673,-593.901,879.685
0.0435,0.526392,-0.940675,0.513799,-0.491502,0.322709,-2.98255,6.52465,-5.50511,-75.7696,0.418314,-81.6567,0,0,0,225.987,2.72935,449.529,0,0,0,0,0,0,1.08508,-0.02172,-0.727289,-593.602,880.02
0.044,0.526554,-0.94217,0.517072,-0.494264,0.322863,-2.99927,6.56697,-5.54273,-75.6996,0.476337,-83.7369,0,0,0,227.044,3.12809,464.131,0,0,0,0,0,0,1.08472,-0.0221461,-0.735903,-593.411,880.363
0.0445,0.526715,-0.943674,0.520366,-0.497045,0.321582,-3.01442,6.61015,-5.58195,-75.6411,0.537198,-85.8587,0,0,0,228.014,3.55096,479.258,0,0,0,0,0,0,1.08435,-0.0225681,-0.744516,-593.327,880.714
0.045,0.526875,-0.945184,0.523682,-0.499846,0.318856,-3.02797,6.65419,-5.62277,-75.5945,0.596154,-87.9504,0,0,0,228.898,3.96692,494.525,0,0,0,0,0,0,1.08397,-0.022986,-0.753129,-593.287,881.074
0.0455,0.527033,-0.946701,0.52702,-0.502668,0.314753,-3.03998,6.69897,-5.66508,-75.5595,0.645358,-89.8962,0,0,0,229.7,4.32323,509.269,0,0,0,0,0,0,1.0836,-0.0234005,-0.761742,-593.182,881.442
0.046,0.527189,-0.948224,0.530381,-0.505511,0.309373,-3.05052,6.74436,-5.70868,-75.5355,0.685421,-91.7046,0,0,0,230.423,4.62273,523.512,0,0,0,0,0,0,1.08321,-0.0238122,-0.770354,-593.017,881.817
0.0465,0.527343,-0.949752,0.533765,-0.508377,0.302808,-3.05967,6.79023,-5.75342,-75.522,0.716853,-93.3822,0,0,0,231.072,4.8676,537.268,0,0,0,0,0,0,1.08283,-0.024222,-0.778964,-592.797,882.2
0.047,0.527492,-0.951283,0.537171,-0.511265,0.295148,-3.06748,6.83645,-5.79916,-75.5185,0.740143,-94.9359,0,0,0,231.652,5.05995,550.549,0,0,0,0,0,0,1.08243,-0.0246304,-0.787573,-592.524,882.59
0.0475,0.527637,-0.952819,0.540601,-0.514176,0.28648,-3.07403,6.88291,-5.84574,-75.5247,0.755759,-96.3722,0,0,0,232.166,5.20182,563.367,0,0,0,0,0,0,1.08204,-0.0250381,-0.79618,-592.204,882.987
0.048,0.527778,-0.954357,0.544054,-0.517111,0.276887,-3.07939,6.9295,-5.89303,-75.5402,0.76415,-97.6974,0,0,0,232.618,5.29518,575.734,0,0,0,0,0,0,1.08164,-0.0254458,-0.804785,-591.842,883.391
0.0485,0.527914,-0.955898,0.547531,-0.520069,0.266448,-3.08362,6.97613,-5.9409,-75.5644,0.765728,-98.9177,0,0,0,233.012,5.34182,587.66,0,0,0,0,0,0,1.08123,-0.025854,-0.813388,-591.439,883.801
0.049,0.528045,-0.957441,0.55103,-0.523052,0.255239,-3.08678,7.02271,-5.98924,-75.597,0.762041,-100.039,0,0,0,233.351,5.35159,599.157,0,0,0,0,0,0,1.08082,-0.0262632,-0.821988,-591.003,884.217
0.0495,0.528169,-0.958985,0.554553,-0.526059,0.243332,-3.08893,7.06913,-6.03792,-75.6373,0.75697,-101.067,0,0,0,233.639,5.35112,610.234,0,0,0,0,0,0,1.08041,-0.026674,-0.830585,-590.547,884.639
0.05,0.528288,-0.960529,0.558099,-0.52909,0.230793,-3.09014,7.11534,-6.08686,-75.6851,0.751344,-102.006,0,0,0,233.877,5.34607,620.899,0,0,0,0,0,0,1.07999,-0.0270868,-0.839179,-590.077,885.066
0.0505,0.5284,-0.962075,0.561669,-0.532146,0.217686,-3.09044,7.16126,-6.13596,-75.7397,0.745655,-102.863,0,0,0,234.069,5.33984,631.162,0,0,0,0,0,0,1.07957,-0.027502,-0.847771,-589.594,885.499
0.051,0.528506,-0.96362,0.565261,-0.535226,0.204072,-3.08991,7.20683,-6.18512,-75.8008,0.739917,-103.641,0,0,0,234.218,5.33246,641.03,0,0,0,0,0,0,1.07915,-0.02792,-0.856359,-589.098,885.936
